actual_squared_residual,atomic_pattern,case_grid_seconds,certificate,certificate_ratio_to_reference,coverage_slack,covered,degree,error,family,name,raw_certificate_excess,reference_atomic_pattern,reference_certificate,seconds,solver,status,success
,False,1.5291941660107113,,,,False,2,LinAlgError: Singular matrix,two_point,two_point_k10_0,,True,2.6145752229922437e-13,8.92080133780837e-05,,,False
1.0119819954727138e-20,False,1.5291941660107113,2.8179250322057925e-08,107777.54670912951,1.9894442404910423e-13,True,3,,two_point,two_point_k10_0,-2.8179250322047804e-08,True,2.6145752229922437e-13,0.22558087500510737,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=moment-nullspace; candidates=1,True
1.2686694199461992e-18,False,1.5291941660107113,3.8084836062601823e-08,145663.56985138005,2.731484606817108e-13,True,4,,two_point,two_point_k10_0,-3.8084836061333153e-08,True,2.6145752229922437e-13,0.21876049996353686,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
2.614936730901531e-20,False,1.5291941660107113,4.254726393426722e-08,162731.07600849256,1.1456851359629044e-13,True,6,,two_point,two_point_k10_0,-4.254726393424107e-08,True,2.6145752229922437e-13,0.3544073750381358,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
2.7802062615944504e-18,False,1.5291941660107113,6.921289807948483e-08,264719.47515923565,1.1374676576603126e-13,True,8,,two_point,two_point_k10_0,-6.921289807670463e-08,True,2.6145752229922437e-13,0.7300215000286698,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
,False,1.3184608750161715,,,,False,2,LinAlgError: Singular matrix,two_point,two_point_k10_1,,True,2.6145752229922437e-13,6.458297139033675e-05,,,False
2.280834858278652e-21,False,1.3184608750161715,3.293311542917898e-08,125959.71666666666,3.266609842810019e-13,True,3,,two_point,two_point_k10_1,-3.29331154291767e-08,True,2.6145752229922437e-13,0.15477658296003938,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
5.3503529285354143e-20,False,1.3184608750161715,2.4256322062043978e-08,92773.47176220806,1.2903698162377696e-13,True,4,,two_point,two_point_k10_1,-2.4256322061990476e-08,True,2.6145752229922437e-13,0.20023420901270583,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
5.739908178825515e-19,False,1.3184608750161715,4.685120047476232e-08,179192.3983014862,1.1456851405547438e-13,True,6,,two_point,two_point_k10_1,-4.685120047418833e-08,True,2.6145752229922437e-13,0.2980642500333488,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
3.4480135882545075e-20,False,1.3184608750161715,4.942574682864631e-08,189039.29936305733,1.137467635549437e-13,True,8,,two_point,two_point_k10_1,-4.9425746828611834e-08,True,2.6145752229922437e-13,0.664803292020224,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
,False,1.543174666003324,,,,False,2,LinAlgError: Singular matrix,two_point,two_point_k10_2,,True,2.6145752229922437e-13,6.445799954235554e-05,,,False
3.675163746720333e-18,False,1.543174666003324,2.7889817455495347e-08,106670.54904458599,1.9894442905532685e-13,True,3,,two_point,two_point_k10_2,-2.7889817451820184e-08,True,2.6145752229922437e-13,0.07763562502805144,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=moment-nullspace; candidates=1,True
7.284449014590573e-19,False,1.543174666003324,3.339214971198601e-08,127715.39108280255,2.1068006685290752e-13,True,4,,two_point,two_point_k10_2,-3.3392149711257566e-08,True,2.6145752229922437e-13,0.20176841702777892,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=2,True
6.716019895038103e-20,False,1.543174666003324,4.4350032979423304e-08,169626.15031847134,1.145685138141332e-13,True,6,,two_point,two_point_k10_2,-4.4350032979356143e-08,True,2.6145752229922437e-13,0.40469900000607595,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
4.869131958322092e-18,False,1.543174666003324,6.910898653345043e-08,264322.0433121019,1.137467657359928e-13,True,8,,two_point,two_point_k10_2,-6.91089865285813e-08,True,2.6145752229922437e-13,0.8586344159557484,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
1.9721522630525295e-31,False,0.9583362499834038,1.4488410471358293e-13,0.554140127388535,5.798739266538332e-13,True,2,,two_point,two_point_k10_3,-1.4488410471358293e-13,True,2.6145752229922437e-13,8.7958003859967e-05,linear algebra,exact degree-two moment calculation,True
7.59541683426903e-21,False,0.9583362499834038,0.00029349185888349894,1122522145.4811041,3.0487564548738406e-09,True,3,,two_point,two_point_k10_3,-0.00029349185888349894,True,2.6145752229922437e-13,0.1276366250240244,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
8.343448424268023e-19,False,0.9583362499834038,2.371846674620315e-08,90716.32951167728,1.290369814637975e-13,True,4,,two_point,two_point_k10_3,-2.3718466745368804e-08,True,2.6145752229922437e-13,0.09341379097895697,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
6.580268580779658e-19,False,0.9583362499834038,4.5022880756917516e-08,172199.6,1.1456851384583084e-13,True,6,,two_point,two_point_k10_3,-4.502288075625949e-08,True,2.6145752229922437e-13,0.23685562500031665,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
4.812163955906193e-20,False,0.9583362499834038,6.619250925155029e-08,253167.35456475583,1.1374676546097042e-13,True,8,,two_point,two_point_k10_3,-6.619250925150217e-08,True,2.6145752229922437e-13,0.4999385830014944,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=moment-nullspace; candidates=1,True
4.390850087980565e-23,False,1.8603922500042245,1.715250164124882e-11,0.50166251039069,6.836813843925421e-11,True,2,,two_point,two_point_k100_0,-1.715250164120491e-11,True,3.419131644477602e-11,0.00022262497805058956,linear algebra,exact degree-two moment calculation,True
1.8219060827145254e-11,False,1.8603922500042245,1.8966949895116159e-06,55473.00270157938,1.7216953072757148e-11,True,3,,two_point,two_point_k100_0,-1.8966767704507888e-06,True,3.419131644477602e-11,0.08342033304506913,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
7.950710209068176e-09,False,1.8603922500042245,7.663629606469158e-07,22413.96472360765,5.630465090011875e-12,True,4,,two_point,two_point_k100_0,-7.584122504378476e-07,True,3.419131644477602e-11,0.13335037499200553,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
3.378798608445153e-09,False,1.8603922500042245,2.5305975803746605e-07,7401.287354530341,9.033056007337907e-13,True,6,,two_point,two_point_k100_0,-2.496809594290209e-07,True,3.419131644477602e-11,0.3661739589879289,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
3.283285459964966e-09,False,1.8603922500042245,1.719405018363318e-07,5028.776885910224,9.414176664858218e-13,True,8,,two_point,two_point_k100_0,-1.6865721637636685e-07,True,3.419131644477602e-11,1.2762567920144647,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
0.0,False,2.4673555409535766,1.709565822238801e-11,0.5008326394671108,6.836813852828769e-11,True,2,,two_point,two_point_k100_1,-1.709565822238801e-11,True,3.413447302591521e-11,0.0001419170293956995,linear algebra,exact degree-two moment calculation,True
8.908172358504143e-19,False,2.4673555409535766,4.520812845498767e-05,1324412.6669442132,4.81456140835292e-10,True,3,,two_point,two_point_k100_1,-4.5208128454986785e-05,True,3.413447302591521e-11,0.05807525001000613,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1,True
6.560897288894434e-12,False,2.4673555409535766,6.532312522011807e-07,19136.995368442964,5.0060939094587565e-12,True,4,,two_point,two_point_k100_1,-6.532246913038919e-07,True,3.413447302591521e-11,0.22490329097490758,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
1.4836814012350871e-08,False,2.4673555409535766,2.0151821100711231e-07,5903.6567183597,1.034147721361904e-12,True,6,,two_point,two_point_k100_1,-1.8668139699476143e-07,True,3.413447302591521e-11,0.6809137499658391,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
1.2757122272081454e-07,False,2.4673555409535766,3.3076844641044545e-07,9690.158279558702,1.288329218712268e-12,True,8,,two_point,two_point_k100_1,-2.031972236896309e-07,True,3.413447302591521e-11,1.502782208030112,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2,True
2.8535225370133842e-24,False,2.4590318750124425,1.7053025658242404e-11,0.4997917534360683,6.836813855237191e-11,True,2,,two_point,two_point_k100_2,-1.705302565823955e-11,True,3.412026217120001e-11,9.070796659216285e-05,linear algebra,exact degree-two moment calculation,True
