method,converged,failure,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_preconditioned_relative_residual,maximum_original_relative_residual,final_scaled_gradient,quadratic_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index,relative_objective_gap_to_direct,relative_solution_distance_to_direct
certificate,True,,31,34,2845,7,1,0.04846285490555056,0.048511347973087204,5.735001528247508e-07,-36.55203057537805,0.9960711931561032,0.0,"[-0.9960711931561032,-0.9948824457143064,-0.9930869537250003,-0.9902031233629497,-0.9851559452765415,-0.9750849881164944,-0.9497507683659553,-0.8387961332550475,0.2578660957126376,0.7894251223913887,0.8542582554857268,0.8646995270626789,0.8540714146108265,0.8253353006233439,0.7729531546449178,0.6867223236929799,0.5602505650187336,0.40662246181506406,0.25389440863009777,0.11882248700778333]",double_integrator,20,0,1.9825486688647315e-08,6.430861514049517e-06
cost_gated_certificate,True,,31,34,2845,7,1,0.04846285490555056,0.048511347973087204,5.735001528247508e-07,-36.55203057537805,0.9960711931561032,0.0,"[-0.9960711931561032,-0.9948824457143064,-0.9930869537250003,-0.9902031233629497,-0.9851559452765415,-0.9750849881164944,-0.9497507683659553,-0.8387961332550475,0.2578660957126376,0.7894251223913887,0.8542582554857268,0.8646995270626789,0.8540714146108265,0.8253353006233439,0.7729531546449178,0.6867223236929799,0.5602505650187336,0.40662246181506406,0.25389440863009777,0.11882248700778333]",double_integrator,20,0,1.9825486688647315e-08,6.430861514049517e-06
interval_chebyshev,True,,30,33,9208,0,1,0.0496119515062849,0.04961226550374563,5.633902427249619e-07,-36.55203057255139,0.996071193183819,0.0,"[-0.996071193183819,-0.9948824463765309,-0.9930869509817886,-0.9902031236462556,-0.9851559425670358,-0.9750849880355094,-0.9497507699014138,-0.8387961366254283,0.2578661055218705,0.7894251243882406,0.8542582548193035,0.8646995284083823,0.8540714165086941,0.8253353031839871,0.7729531581852843,0.6867223275712981,0.5602505694766035,0.40662246687939413,0.2538944129096322,0.11882249184262236]",double_integrator,20,0,1.974815419010583e-08,6.432860353631411e-06
cg,True,,34,37,268,0,1,0.049991577528000666,0.04862964660425031,1.324721944338094e-07,-36.552029759126135,0.9960711966805827,0.0,"[-0.9960711966805827,-0.9948824436350132,-0.9930869170091501,-0.9902030685094771,-0.9851556089261704,-0.975084451782043,-0.9497498582529897,-0.838786508869557,0.25784420962874016,0.7894289901301,0.8542594120399102,0.8647005630160063,0.8540724075207898,0.8253355538487149,0.772954992336403,0.6867236705639165,0.5602509708010007,0.40662604674645575,0.2539003819564803,0.11882471637883205]",double_integrator,20,0,2.505746778196947e-09,1.6433591767989494e-06
direct,True,,36,39,0,0,0,0.0,0.0,3.7548636617446553e-07,-36.552029850716266,0.9960712090663464,0.0,"[-0.9960712090663464,-0.9948824438985882,-0.9930869177928472,-0.9902030700593829,-0.9851556123420228,-0.9750844610454701,-0.949749849864569,-0.8387875305590812,0.2578459307596129,0.7894284597551615,0.854259727782185,0.8647003774497295,0.8540718293872752,0.8253361866119379,0.7729547038039699,0.6867247237114918,0.5602526449682717,0.4066243294302083,0.25389576158846533,0.11882560847937156]",double_integrator,20,0,0.0,0.0
certificate,True,,37,40,21626,12,0,0.049506602313882854,0.049523781310770114,4.787334841989325e-06,-76.05877623618127,0.9977931153534675,0.0,"[-0.9977931153534675,-0.9973129652075065,-0.9966597038227267,-0.9957435173461382,-0.9944072900142283,-0.9923585852740231,-0.9890001998448947,-0.9829433319051025,-0.9702487486870219,-0.9349632471611612,-0.7249787543272904,0.529019715265349,0.8111459866038667,0.8536371421437154,0.8558529902570282,0.8366066224538887,0.7931510096391716,0.7106157812391924,0.5609213741945172,0.31895235624363516]",double_integrator,20,1,2.5660003772710212e-09,2.9866168050414214e-06
cost_gated_certificate,True,,37,40,21626,12,0,0.049506602313882854,0.049523781310770114,4.787334841989325e-06,-76.05877623618127,0.9977931153534675,0.0,"[-0.9977931153534675,-0.9973129652075065,-0.9966597038227267,-0.9957435173461382,-0.9944072900142283,-0.9923585852740231,-0.9890001998448947,-0.9829433319051025,-0.9702487486870219,-0.9349632471611612,-0.7249787543272904,0.529019715265349,0.8111459866038667,0.8536371421437154,0.8558529902570282,0.8366066224538887,0.7931510096391716,0.7106157812391924,0.5609213741945172,0.31895235624363516]",double_integrator,20,1,2.5660003772710212e-09,2.9866168050414214e-06
interval_chebyshev,True,,37,40,25491,0,0,0.049503313263028564,0.04952094097819537,5.279927575918412e-06,-76.05877652728947,0.9977931069847276,0.0,"[-0.9977931069847276,-0.9973129788728721,-0.9966597054075228,-0.9957435078110185,-0.9944072527804049,-0.9923585548894899,-0.989000159535208,-0.9829432046848899,-0.9702476736202986,-0.9349637884512342,-0.7249872597231575,0.5290168074636044,0.8111442476795707,0.8536389584252982,0.8558556745630781,0.8366093258469884,0.7931534929036385,0.7106174963671484,0.5609232893278429,0.31895648014140043]",double_integrator,20,1,6.393411344203323e-09,3.0359160298784727e-07
cg,True,,38,41,338,0,0,0.04912961912839055,0.048211548976474956,6.395595971474425e-07,-76.05877608721303,0.9977931047160822,0.0,"[-0.9977931047160822,-0.9973127900306137,-0.9966597391933733,-0.9957435157864084,-0.9944072600617405,-0.9923585678612954,-0.9890001789853426,-0.9829433709735563,-0.970247828781977,-0.9349638980184977,-0.7249899905591671,0.5290271847415725,0.8111433092800128,0.8536365598263582,0.8558537848124239,0.8366086414999037,0.7931526653058664,0.710614381799188,0.5609294028210807,0.31896829317062025]",double_integrator,20,1,6.074066664077915e-10,4.518829273288456e-06
direct,True,,31,34,0,0,1,0.0,0.0,5.685583480447539e-08,-76.05877604101443,0.9977931036822616,0.0,"[-0.9977931036822616,-0.9973127924189509,-0.9966597030987289,-0.9957435095215451,-0.9944072541699317,-0.9923585580900925,-0.9890001610018233,-0.9829432166142622,-0.9702477475333495,-0.9349647345107571,-0.7249870774718193,0.5290173334814934,0.8111443222961567,0.8536391987162351,0.8558557920196247,0.8366094619149351,0.7931536055758756,0.7106175675565314,0.5609233558968022,0.3189565730041785]",double_integrator,20,1,0.0,0.0
