system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,preconditioned_weyl_lower,preconditioned_weyl_upper,preconditioned_exact_lower,preconditioned_exact_upper,interval_chebyshev_degree,raw_gradient_norm,preconditioned_gradient_norm
0,double_integrator,20,0,0,0,0.1,0.07860498781300007,20.82827988412948,0.08472230682805822,14.841255294620595,30,31.87866155440031,26.345302679815173
1,double_integrator,20,0,0,1,0.1,0.12183981574928661,1400.707221064379,0.12930773071709206,1387.4985137288995,198,22.84891370016009,19.40620368605456
2,double_integrator,20,0,0,2,0.1,0.15457109793883572,9885.624904928116,0.16988406130753572,9872.40934799549,467,44.31040360146815,29.41205811164709
3,double_integrator,20,0,0,3,0.1,0.19757171538375806,12841.667544245318,0.23356745957798697,12828.451800192564,471,54.22315152599658,38.63979985776887
4,double_integrator,20,0,0,4,0.1,0.23821528268115189,8567.532685601063,0.31881498141443165,8554.317545976653,350,45.528557645666666,36.369120445889614
5,double_integrator,20,0,0,5,0.1,0.3033101718046678,2194.7704616717087,0.34266933091507784,2181.5599859083736,157,22.8404289462714,18.276626401873727
6,double_integrator,20,0,0,6,0.1,0.3102258233474316,578.637699110723,0.3385399085089267,565.4459844769488,80,10.989157746466386,8.86003965011431
7,double_integrator,20,0,0,7,0.1,0.3137077729670754,164.82055067912077,0.3411578781426269,151.7105975400428,43,5.110392386322644,4.1723656543250565
8,double_integrator,20,0,0,8,0.1,0.3084087523062209,56.9190640982467,0.3441680945430778,44.42339820372085,26,2.2404141260101076,1.8648907050578771
9,double_integrator,20,0,0,9,0.1,0.30300616349564147,41.87501366541515,0.3476454540636476,29.999560267049905,22,0.8937168497427657,0.7615552913952468
10,double_integrator,20,0,0,10,0.1,0.2985404335743141,42.259886908783216,0.35084868336579905,30.155027678744815,22,0.3021776040137015,0.26322613771593834
11,double_integrator,20,0,0,11,0.1,0.2958376995674611,42.520687948862324,0.3529430086036349,30.37648856801212,23,0.07239253309901181,0.06362416567091285
12,double_integrator,20,0,0,12,0.1,0.294896116298216,42.619687931069905,0.35368415655432967,30.466297123113947,23,0.0070406100806583195,0.006189914796235525
13,double_integrator,20,0,0,13,0.1,0.2947898853285955,42.63120554416037,0.3537657030927795,30.47684895814394,23,0.00011034290559406024,9.701053138125284e-05
14,double_integrator,20,0,1,0,0.03,0.09493308453837605,22.741113707520327,0.1290512644861803,16.48278368335348,29,2.9669043593433297,2.0096345851461845
15,double_integrator,20,0,1,1,0.03,0.11445377141119527,340882.6661444213,0.14670578545570978,340869.4494670749,3183,169.75465403132648,100.00695498429151
16,double_integrator,20,0,1,2,0.03,0.1156376658232484,86966.2778341941,0.2026141620105138,86953.0612511761,1600,84.42295168169113,49.73093593235271
17,double_integrator,20,0,1,3,0.03,0.11047055772251357,22533.283248874224,0.18891400312212553,22520.067028571444,833,41.633411747151236,24.52123366913663
18,double_integrator,20,0,1,4,0.03,0.10902434683097316,6022.711948568449,0.1885515562354093,6009.497078254062,434,20.21123497900972,11.90182664012459
19,double_integrator,20,0,1,5,0.03,0.10831991340665457,1713.279637405404,0.1887512657871684,1700.0694974395,232,9.50659089097631,5.597299005970638
20,double_integrator,20,0,1,6,0.03,0.10790927150860802,550.7444434836542,0.1888770366825526,537.5492095609918,132,4.188681617271595,2.4660733680679194
21,double_integrator,20,0,1,7,0.03,0.10757455336291308,220.86492001179738,0.18898668543939798,207.70888059840416,84,1.6014071809814425,0.9428201722293691
22,double_integrator,20,0,1,8,0.03,0.10726744028270291,123.30320360578114,0.18908575120998317,110.221449071537,63,0.44324451399447756,0.26095790691894716
23,double_integrator,20,0,1,9,0.03,0.10710771809584345,97.68098510015261,0.18913506502041783,84.66991693198197,56,0.05735989553796887,0.03377034076904378
24,double_integrator,20,0,1,10,0.03,0.10708073738467005,94.25508141106684,0.18914308900074067,81.26070855297856,55,0.0014672527197472284,0.0008638374229614609
25,double_integrator,20,0,2,0,0.01,0.04188060419045243,40.86667742363437,0.08581600761826086,28.74791340549171,58,2.5859435059444813,1.688342412188398
26,double_integrator,20,0,2,1,0.01,0.04976686712853174,1065977.8683105186,0.12775594724662448,1065964.65161124,8535,175.74088714274856,103.77984383685168
27,double_integrator,20,0,2,2,0.01,0.04676782694835791,271736.96576682414,0.17672328632082204,271723.7490978329,4446,87.37594122498794,51.587120406132854
28,double_integrator,20,0,2,3,0.01,0.04500528492611969,70278.99498599896,0.1642375038360655,70265.77843366034,2305,43.0869076798661,25.42927229832249
29,double_integrator,20,0,2,4,0.01,0.04430453251922825,18705.408580884003,0.16293372852404708,18692.192463757543,1199,20.912217856664046,12.334949912962406
30,double_integrator,20,0,2,5,0.01,0.04395231892746365,5268.505376096481,0.16293493125555836,5255.290786798072,639,9.837501218846594,5.798211043467308
31,double_integrator,20,0,2,6,0.01,0.043752176372709166,1655.0708068735466,0.1629570096176738,1641.861011564175,359,4.347787758164941,2.5607384447189507
32,double_integrator,20,0,2,7,0.01,0.04363503975161654,634.0340789669712,0.16297990029721987,620.8366181826757,223,1.6848279995695887,0.9919719425690142
