repeat,system,method,products,accepted_degree_two,total_ns
4,75,direct,0,False,47500
2,58,cg,1,False,22167
2,144,cost_gated_certificate,14,False,47000
3,164,cost_gated_certificate,2,True,68209
4,94,cg,11,False,44708
1,47,cost_gated_certificate,24,False,103500
1,84,cost_gated_certificate,1874,False,5261959
1,126,direct,0,False,11875
0,117,interval_chebyshev,2012,False,5670167
2,7,interval_chebyshev,43,False,128000
0,125,cost_gated_certificate,2,True,42167
0,225,direct,0,False,9125
1,205,cg,4,False,19750
0,15,cost_gated_certificate,2,True,36750
0,61,interval_chebyshev,60,False,176958
1,15,cost_gated_certificate,2,True,37875
0,69,interval_chebyshev,313,False,932209
4,121,direct,0,False,12792
0,224,cost_gated_certificate,2,True,41959
1,95,cost_gated_certificate,159,False,486125
4,64,interval_chebyshev,132,False,385750
3,107,interval_chebyshev,97,False,277542
4,33,direct,0,False,11625
3,79,certificate,24,False,93875
2,22,cg,1,False,8542
4,79,direct,0,False,8250
0,157,direct,0,False,7958
4,182,interval_chebyshev,26,False,78000
4,129,certificate,181,False,531375
0,110,cost_gated_certificate,21,False,61542
4,200,cost_gated_certificate,2,True,37500
0,96,certificate,136,False,404708
4,146,cg,5,False,22750
1,180,direct,0,False,7916
2,9,cg,4,False,18041
0,197,certificate,203,False,590917
1,190,cost_gated_certificate,51,False,172583
1,131,cost_gated_certificate,172,False,503750
2,134,certificate,341,False,980625
4,196,cost_gated_certificate,30,False,112166
2,111,interval_chebyshev,20,False,58208
0,36,interval_chebyshev,30,False,88708
3,82,cost_gated_certificate,26,False,97834
1,126,cost_gated_certificate,62,False,195459
2,192,cost_gated_certificate,54,False,176792
4,59,certificate,2,True,36500
3,93,cost_gated_certificate,62,False,197792
3,225,cost_gated_certificate,2,True,34583
2,131,certificate,172,False,503625
1,223,interval_chebyshev,607,False,1720250
4,213,direct,0,False,8000
0,14,direct,0,False,7333
2,91,direct,0,False,7083
4,47,certificate,24,False,92959
0,198,cg,3,False,17166
0,227,interval_chebyshev,90,False,254375
3,104,interval_chebyshev,263,False,746541
3,59,cost_gated_certificate,2,True,33666
2,166,cost_gated_certificate,17,False,53500
1,142,interval_chebyshev,14,False,44000
4,184,direct,0,False,7458
1,39,direct,0,False,8542
1,23,interval_chebyshev,56,False,160750
0,208,direct,0,False,9625
2,117,certificate,2012,False,5632292
2,218,interval_chebyshev,38,False,115125
4,15,cg,2,False,18750
0,123,direct,0,False,17167
4,196,direct,0,False,8125
4,95,interval_chebyshev,159,False,463333
0,156,interval_chebyshev,39,False,116292
2,146,cg,5,False,22833
1,207,direct,0,False,8334
4,139,cost_gated_certificate,35,False,146583
2,164,interval_chebyshev,52,False,156291
1,196,certificate,30,False,120625
1,43,cg,3,False,17792
3,8,interval_chebyshev,26,False,79333
0,61,direct,0,False,9166
4,226,direct,0,False,7625
0,89,cost_gated_certificate,2,True,45750
3,102,certificate,406,False,1212583
0,130,direct,0,False,10417
0,78,certificate,24,False,95167
1,150,cost_gated_certificate,2,True,37209
0,123,certificate,2,True,36333
4,135,cg,5,False,25917
2,174,interval_chebyshev,20,False,59500
3,6,interval_chebyshev,80,False,229667
1,96,interval_chebyshev,136,False,379041
2,183,direct,0,False,8541
3,192,cost_gated_certificate,54,False,175833
3,13,direct,0,False,8041
