method,converged,failure,converged_stages,newton_updates,linear_systems,matrix_products,degree_two_acceptances,line_search_backtracks,maximum_linear_relative_residual,final_scaled_gradient,quadratic_objective,terminal_barrier_objective,maximum_control_fraction,feasibility_violation,solution_json,plant,horizon,state_index
certificate,True,,3,30,33,9040,6,1,0.04684234727023985,1.0323277638056076e-06,-36.55203041759466,-36.19106127611701,0.9960711703124536,0.0,"[-0.9960711703124536,-0.9948824217235954,-0.9930868571331626,-0.9902030489873017,-0.985155374035979,-0.975084010844553,-0.9497544231866458,-0.8387925563347449,0.25784654361723597,0.7894269398747956,0.854261225008019,0.8646996853539092,0.8540721828555392,0.8253359244575061,0.7729552132170431,0.6867240008313793,0.5602521766119599,0.4066240034485915,0.25389552357731343,0.11882551876265272]",double_integrator,20,0
cost_gated_certificate,True,,3,31,34,9114,5,1,0.0490461979382648,1.0323562029843696e-06,-36.552030417634576,-36.19106127611703,0.9960711703122253,0.0,"[-0.9960711703122253,-0.9948824217527014,-0.993086857135906,-0.9902030489700427,-0.9851553740314004,-0.9750840108457617,-0.9497544231868082,-0.8387925563328777,0.2578465436152421,0.7894269398729638,0.8542612250058133,0.8646996853545295,0.8540721828573477,0.825335924458353,0.7729552132158115,0.6867240008327288,0.560252176612691,0.40662400344916727,0.2538955235777461,0.11882551876282287]",double_integrator,20,0
interval_chebyshev,True,,3,31,34,16649,0,1,0.0490461979382648,1.0286535753067568e-06,-36.552030413364776,-36.19106127611708,0.9960711703417273,0.0,"[-0.9960711703417273,-0.9948824194074761,-0.9930868572145847,-0.9902030489214334,-0.9851553742507985,-0.975084010930908,-0.949754421358526,-0.838792557234805,0.2578465430359152,0.789426940145508,0.8542612259636991,0.8646996865658622,0.854072184060901,0.8253359249989635,0.7729552135240538,0.6867240012027835,0.5602521769021234,0.40662400366990675,0.25389552372847274,0.11882551883206899]",double_integrator,20,0
cg,True,,3,39,42,288,0,1,0.04943384082915893,1.23987679919137e-07,-36.55203035002332,-36.19106127618092,0.9960711908633267,0.0,"[-0.9960711908633267,-0.994882444541502,-0.993086919067242,-0.9902030707446073,-0.9851556182407827,-0.9750844869716,-0.9497499317751081,-0.8387932645703242,0.25784887096534165,0.7894334435584027,0.8542600806841827,0.8646973567348616,0.854068557429482,0.825339815565168,0.7729565628757101,0.6867265089242197,0.5602577072915976,0.40661733517952264,0.2539020488908259,0.11882522881824749]",double_integrator,20,0
direct,True,,3,36,39,0,0,0,0.0,3.754863662859104e-07,-36.55202985071626,-36.19106127620389,0.9960712090663464,0.0,"[-0.9960712090663464,-0.9948824438985882,-0.9930869177928472,-0.9902030700593829,-0.9851556123420228,-0.9750844610454701,-0.9497498498645687,-0.8387875305590746,0.2578459307596007,0.789428459755164,0.8542597277821851,0.8647003774497317,0.854071829387274,0.8253361866119383,0.7729547038039714,0.6867247237114925,0.5602526449682705,0.40662432943020765,0.25389576158846644,0.11882560847937139]",double_integrator,20,0
certificate,True,,3,37,40,37433,13,0,0.04955058854209783,2.9160776768448157e-06,-76.05877919278186,-75.56494730430668,0.9977931505543817,0.0,"[-0.9977931505543817,-0.9973127920180215,-0.996659691213453,-0.9957435353623466,-0.9944074191421477,-0.9923591086982796,-0.9889996286403046,-0.9829434678499975,-0.9702452651163873,-0.9349754890024943,-0.7249683376185571,0.5290203515198593,0.8111446277461735,0.8536527983764628,0.8558641389210018,0.8366183412278663,0.7931569526343496,0.710615024553652,0.5609254207581683,0.3189549257260911]",double_integrator,20,1
cost_gated_certificate,True,,3,36,39,36886,13,0,0.049742784961518786,2.9880588479923822e-06,-76.05877909061059,-75.56494730430104,0.9977931506152169,0.0,"[-0.9977931506152169,-0.9973127954139347,-0.996659688277994,-0.9957435347952845,-0.994407417799987,-0.9923591053130877,-0.9889995213968642,-0.9829434663820366,-0.9702452674991145,-0.9349754855988128,-0.7249683616410357,0.5290203241004787,0.8111446256096219,0.8536527915892512,0.8558641354484716,0.8366183365365093,0.7931569521021764,0.7106150263868729,0.5609254211207829,0.31895492777369383]",double_integrator,20,1
interval_chebyshev,True,,3,36,39,78426,0,0,0.04966091209074619,4.700949171358752e-06,-76.0587763561513,-75.56494730482792,0.9977932157571817,0.0,"[-0.9977932157571817,-0.9973127919780692,-0.9966597032331868,-0.9957435092585761,-0.994407253640891,-0.9923585558193384,-0.9890001586071939,-0.9829432049655268,-0.9702476572635041,-0.9349637908968557,-0.7249874120819417,0.5290167191161246,0.8111442298539451,0.853639163864497,0.8558557772599318,0.8366094473021947,0.793153605616777,0.710617553836102,0.560923360991162,0.31895658584483955]",double_integrator,20,1
cg,True,,3,43,46,401,0,2,0.04992242569020699,1.7865790902595548e-08,-76.05877597218372,-75.56494730483918,0.9977931033337307,0.0,"[-0.9977931033337307,-0.9973127920157764,-0.996659702496255,-0.9957435086498418,-0.9944072525438621,-0.9923585549378479,-0.9890001539683474,-0.9829431957489224,-0.9702476404162423,-0.9349636693678439,-0.7249884810285271,0.529015709899254,0.8111445597089982,0.8536399179019143,0.8558562237105317,0.8366100545749382,0.7931522333571969,0.7106207552214041,0.5609235937784427,0.31895437043485736]",double_integrator,20,1
direct,True,,3,31,34,0,0,1,0.0,5.685583482851042e-08,-76.05877604101447,-75.56494730483968,0.9977931036822616,0.0,"[-0.9977931036822616,-0.9973127924189509,-0.9966597030987289,-0.9957435095215451,-0.9944072541699317,-0.9923585580900925,-0.9890001610018233,-0.9829432166142622,-0.9702477475333495,-0.9349647345107573,-0.7249870774718216,0.5290173334814992,0.8111443222961559,0.8536391987162346,0.8558557920196244,0.8366094619149337,0.7931536055758753,0.7106175675565318,0.5609233558968028,0.31895657300417807]",double_integrator,20,1
certificate,True,,3,39,42,63210,12,0,0.047782941349145895,2.1442959319949145e-07,-104.24954791315288,-103.6750259495756,0.9983076465152393,0.0,"[-0.9983076465152393,-0.9980062537540283,-0.9976145892887713,-0.9970944099122511,-0.996385281384347,-0.9953873008488665,-0.993925926039402,-0.9916737182273934,-0.9879557623434664,-0.9811836777853233,-0.966769969341089,-0.9255795067794472,-0.668572024549779,0.5142485065150589,0.7845172688557919,0.8258021056657623,0.8198696896967365,0.7799531198184957,0.6835483048300881,0.45652472832878443]",double_integrator,20,2
