system,plant,horizon,state_index,barrier_stage,newton_iteration,barrier_weight,weyl_lower,weyl_upper,exact_lower,exact_upper,weyl_condition_number,exact_condition_number,interval_chebyshev_degree,maximum_control_fraction,newton_decrement_half
0,double_integrator,20,0,0,0,0.1,0.22251521999410248,16.069726548795384,0.22251521999410254,16.06972654879538,72.21855003545957,72.21855003545953,16,0.0,39.86358446752861
1,double_integrator,20,0,0,1,0.1,0.22255024224267408,4015.8948520191057,0.22314864693375697,4002.919048887215,18044.890949343826,17938.352322053317,248,0.995,20.013502148944276
2,double_integrator,20,0,0,2,0.1,0.22277058564172375,24642.56532175332,0.22413003455440053,24629.191685434824,110618.5776311839,109887.95738331473,614,0.9979848974630554,8.173687307654681
3,double_integrator,20,0,0,3,0.1,0.22369386504883432,23442.00181325372,0.22620642807235358,23427.95961230061,104795.01441908622,103568.93838935038,597,0.9979339066571595,2.1251159376990856
4,double_integrator,20,0,0,4,0.1,0.22426364676607227,11081.722270453347,0.22969453660183387,11067.148660439492,49413.81463404369,48182.02828926638,410,0.9969938679584001,0.29301917988324816
5,double_integrator,20,0,0,5,0.1,0.2277050760154607,2836.9611432447414,0.2318840751520179,2822.394859123828,12458.927982141768,12171.57692814192,206,0.9940462121420467,0.13230508216359288
6,double_integrator,20,0,0,6,0.1,0.2278061324669041,746.0893816814655,0.23199812971501724,731.5556465619067,3275.106660220651,3153.282517667439,106,0.9882974430594054,0.10168235069102398
7,double_integrator,20,0,0,7,0.1,0.2278661620125428,210.71344589807987,0.23206931624950575,196.39159849034365,924.7246016566568,846.2626669662621,57,0.9773438923199825,0.07265930987288167
8,double_integrator,20,0,0,8,0.1,0.2279264741351346,94.47513902620187,0.23214033699166323,83.2474882491869,414.4983130401465,358.60845783202484,38,0.9643265280087263,0.04401546910678704
9,double_integrator,20,0,0,9,0.1,0.22799060035846425,95.66393367309384,0.2322151944323122,83.51022041836582,419.59595493271956,359.6242727463211,38,0.9645933500381053,0.020712547183581
10,double_integrator,20,0,0,10,0.1,0.22804687018547812,96.77429298021072,0.23228020788430498,84.55281933301919,424.36141702581125,364.0121562795121,38,0.9648372351249355,0.006062304047025135
11,double_integrator,20,0,0,11,0.1,0.22740333333528398,97.52670398083893,0.23232262452689514,85.29226473753008,428.8710396212414,367.1285347745204,39,0.9649996625356972,0.0006319191603495102
12,double_integrator,20,0,0,12,0.1,0.22673010129777374,97.81231892950781,0.23233847388088452,85.57459180817932,431.4042042483233,368.31864468582063,39,0.9650607331445442,7.277968349802455e-06
13,double_integrator,20,0,0,13,0.1,0.22665414615449514,97.8455472432738,0.23234032467161003,85.60746504625745,431.69537775222943,368.4571981521292,39,0.9650678173314469,1.8263373072230603e-09
14,double_integrator,20,0,1,0,0.03,0.08375653358948808,40.46263229456724,0.08693749496783922,30.7641906678256,483.09822004913457,353.8656212627957,41,0.9650679306729141,0.4298512393256403
15,double_integrator,20,0,1,1,0.03,0.08438589098424087,983421.3463459043,0.08729417308016671,983408.3616556263,11653859.844053302,11265452.51482607,6296,0.9998253396533646,0.05737727310528269
16,double_integrator,20,0,1,2,0.03,0.08513240069136978,250872.56607089847,0.08848868919720525,250859.58148658357,2946851.7748064687,2834933.862875059,3166,0.999654181848854,0.029272657230166706
17,double_integrator,20,0,1,3,0.03,0.08526657789598258,64983.37669225054,0.08867677764863806,64970.392515362844,762120.1447948845,732665.2392895187,1610,0.99932046387142,0.019770566521594354
18,double_integrator,20,0,1,4,0.03,0.08528472566173442,17350.378490868356,0.08870200009420817,17337.39582949825,203440.63202695074,195456.6504823413,832,0.9986844572909689,0.013584597610131853
19,double_integrator,20,0,1,5,0.03,0.08529445457785334,4917.666273162963,0.0887155772909871,4904.688909590268,57655.169934574296,55285.543524142195,443,0.9975260932835281,0.009410413912137023
20,double_integrator,20,0,1,6,0.03,0.08530052071074158,1563.7522386987143,0.08872405821196142,1550.791453017771,18332.270725538452,17478.815602786523,250,0.99559756768817,0.0056673780368077615
21,double_integrator,20,0,1,7,0.03,0.0853056899235351,612.0498134824068,0.08873129323836136,599.1319051417383,7174.78299549568,6752.205262378781,157,0.9929062701445883,0.002148469075338313
22,double_integrator,20,0,1,8,0.03,0.08531051434179018,330.5842616510498,0.08873804452782831,317.74489965761984,3875.07054906021,3580.70657685019,115,0.9902364567921437,0.00031149904405790817
23,double_integrator,20,0,1,9,0.03,0.08531304297116772,256.6641612623115,0.08874158192397459,243.8950745700322,3008.4984935897005,2748.3742038650885,102,0.988837942781264,6.813737075563486e-06
24,double_integrator,20,0,1,10,0.03,0.0853134708595378,246.78042911929901,0.08874218041249962,234.02700933752746,2892.6314523717406,2637.1564035242477,100,0.9886015517931473,4.648695483934401e-09
25,double_integrator,20,0,2,0,0.01,0.04344797408816846,92.7548836155563,0.04567002808325916,80.55103926035738,2134.849450686237,1763.761544300084,86,0.9885952468627601,0.1451479873996054
26,double_integrator,20,0,2,1,0.01,0.04332900101474665,3075321.004595096,0.045434302537655395,3075308.0198802114,70976042.20204471,67686920.41286281,15537,0.9999429762343138,0.02368495143163407
27,double_integrator,20,0,2,2,0.01,0.043349407678479085,783936.0007565363,0.04550282718230142,783923.0160757676,18084122.54605553,17228006.79911772,7843,0.9998870557587871,0.015120340027765727
28,double_integrator,20,0,2,3,0.01,0.043370582650726866,202729.75505385545,0.04554908815675488,202716.77050452703,4674360.883884916,4450512.155301277,3988,0.9997778950417265,0.010304172898161646
29,double_integrator,20,0,2,4,0.01,0.043375525693368236,53939.95827509874,0.045558744986533235,53926.974216430826,1243557.4534914677,1183679.97696976,2057,0.99956936571479,0.006564213641790032
30,double_integrator,20,0,2,5,0.01,0.043378490428717394,15174.492529286726,0.04556460831408338,15161.51019469864,349816.0581272999,332747.5151369277,1091,0.9991877865768345,0.003902443493659958
31,double_integrator,20,0,2,6,0.01,0.043380339035371085,4749.733797078555,0.04556828846075593,4736.7568836300325,109490.47201327214,103948.53622183761,611,0.9985465763484538,0.0020787764799704974
32,double_integrator,20,0,2,7,0.01,0.04338148822571716,1804.0428370680838,0.04557058617874811,1791.0799744955207,41585.54514500546,39303.42189301907,377,0.9976351939687946,0.0007947723733891925
33,double_integrator,20,0,2,8,0.01,0.04338225603199458,933.1930142695584,0.04557212455770363,920.2561535779744,21510.937872417813,20193.400296989486,271,0.9966982865089019,0.00012750597298107468
34,double_integrator,20,0,2,9,0.01,0.043382651771766076,698.9595961713313,0.045572917722386946,686.0472178706736,16111.500049571017,15053.83574626086,235,0.9961738510275632,3.4172434350563148e-06
35,double_integrator,20,0,2,10,0.01,0.04338272659248597,664.7776519729392,0.04557306767840702,651.8714418957377,15323.55626739424,14303.874527292377,229,0.9960743705716099,3.2787962145091416e-09
36,double_integrator,20,1,0,0,0.1,0.22251521999410248,16.069726548795384,0.22251521999410254,16.06972654879538,72.21855003545957,72.21855003545953,16,0.0,85.10260719573142
37,double_integrator,20,1,0,1,0.1,0.2225463045808063,4015.8948520191057,0.22309704894028767,4002.919048941811,18045.210229770135,17942.501113106162,248,0.995,48.955606098224294
38,double_integrator,20,1,0,2,0.1,0.22274447522093827,9640.866213111934,0.22401034383672938,9627.142252179558,43282.1788443877,42976.3290716447,384,0.9967767033559658,25.094249712955502
39,double_integrator,20,1,0,3,0.1,0.22347205389748426,9345.388758769757,0.22572656187941495,9331.066113962203,41819.04894048572,41337.91803796196,378,0.99672605818878,11.471128562309108
40,double_integrator,20,1,0,4,0.1,0.22320003891840226,6208.588735698872,0.2290671515839088,6193.796535486833,27816.252926230965,27039.217507439098,308,0.9959815349741983,3.818602367970444
41,double_integrator,20,1,0,5,0.1,0.22329784372700803,12376.457530560028,0.23401265697095022,12361.470126405271,55425.78165551308,52823.93818527429,435,0.9971556641285495,0.8525212303069184
42,double_integrator,20,1,0,6,0.1,0.23001863793323976,3183.237114722367,0.2407473774129111,3168.2529568952605,13839.039928782922,13160.072566278968,217,0.9943810844716124,0.153249722566866
43,double_integrator,20,1,0,7,0.1,0.23589068734176127,844.6100029226593,0.24097528401217633,829.6401774159726,3580.5144002949896,3442.8434468576097,111,0.9890150673070622,0.09694795814570913
