repeat,system,method,products,accepted_degree_two,total_ns
4,75,direct,0,False,37458
2,58,cg,1,False,20834
2,144,cost_gated_certificate,43,False,170708
3,164,cost_gated_certificate,2,True,40750
4,94,cg,10,False,40542
1,47,cost_gated_certificate,63,False,207917
1,84,cost_gated_certificate,6445,False,18216500
1,126,direct,0,False,32000
0,117,interval_chebyshev,6580,False,19039917
2,7,interval_chebyshev,57,False,162166
0,125,cost_gated_certificate,2,True,68417
0,225,direct,0,False,9458
1,205,cg,3,False,18458
0,15,cost_gated_certificate,2,True,35000
0,61,interval_chebyshev,137,False,421583
1,15,cost_gated_certificate,2,True,46708
0,69,interval_chebyshev,412,False,1226417
4,121,direct,0,False,13666
0,224,cost_gated_certificate,2,True,38000
1,95,cost_gated_certificate,563,False,1633959
4,64,interval_chebyshev,393,False,1149875
3,107,interval_chebyshev,138,False,396458
4,33,direct,0,False,10208
3,79,certificate,82,False,260750
2,22,cg,1,False,8375
4,79,direct,0,False,7708
0,157,direct,0,False,8167
4,182,interval_chebyshev,16,False,51084
4,129,certificate,489,False,1425792
0,110,cost_gated_certificate,73,False,237167
4,200,cost_gated_certificate,2,True,33041
0,96,certificate,463,False,1373542
4,146,cg,7,False,32375
1,180,direct,0,False,13250
2,9,cg,6,False,24833
0,197,certificate,248,False,741084
1,190,cost_gated_certificate,37,False,138041
1,131,cost_gated_certificate,468,False,1340292
2,134,certificate,535,False,1637334
4,196,cost_gated_certificate,16,False,48375
2,111,interval_chebyshev,74,False,226375
0,36,interval_chebyshev,16,False,59833
3,82,cost_gated_certificate,77,False,292458
1,126,cost_gated_certificate,164,False,509417
2,192,cost_gated_certificate,41,False,168708
4,59,certificate,2,True,44833
3,93,cost_gated_certificate,172,False,521417
3,225,cost_gated_certificate,2,True,35542
2,131,certificate,468,False,1368584
1,223,interval_chebyshev,834,False,2403959
4,213,direct,0,False,12042
0,14,direct,0,False,9708
2,91,direct,0,False,6916
4,47,certificate,63,False,208500
0,198,cg,2,False,14917
0,227,interval_chebyshev,114,False,328333
3,104,interval_chebyshev,322,False,941250
3,59,cost_gated_certificate,2,True,36833
2,166,cost_gated_certificate,2,True,34500
1,142,interval_chebyshev,43,False,123875
4,184,direct,0,False,7791
1,39,direct,0,False,7041
1,23,interval_chebyshev,102,False,291167
0,208,direct,0,False,7209
2,117,certificate,6580,False,18468000
2,218,interval_chebyshev,47,False,133292
4,15,cg,2,False,13500
0,123,direct,0,False,10625
4,196,direct,0,False,7125
4,95,interval_chebyshev,563,False,1555333
0,156,interval_chebyshev,105,False,295000
2,146,cg,7,False,28209
1,207,direct,0,False,7458
4,139,cost_gated_certificate,2,True,37125
2,164,interval_chebyshev,127,False,351666
1,196,certificate,2,True,33375
1,43,cg,2,False,11542
3,8,interval_chebyshev,38,False,108125
0,61,direct,0,False,7667
4,226,direct,0,False,6834
0,89,cost_gated_certificate,2,True,33833
3,102,certificate,576,False,1629917
0,130,direct,0,False,7833
0,78,certificate,81,False,249750
1,150,cost_gated_certificate,2,True,32875
0,123,certificate,2,True,31750
4,135,cg,6,False,25958
2,174,interval_chebyshev,28,False,82542
3,6,interval_chebyshev,106,False,300667
1,96,interval_chebyshev,463,False,1312000
2,183,direct,0,False,7542
3,192,cost_gated_certificate,41,False,142541
3,13,direct,0,False,7958
2,23,interval_chebyshev,102,False,292416
0,139,interval_chebyshev,58,False,165583
4,192,cost_gated_certificate,41,False,143375
0,224,direct,0,False,7375
4,205,interval_chebyshev,22,False,65583
0,162,interval_chebyshev,16,False,47416
3,82,cg,9,False,35833
3,117,cg,3,False,13542
4,167,cost_gated_certificate,2,True,32500
2,125,cg,1,False,7375
1,3,certificate,597,False,1716208
2,130,direct,0,False,7292
4,175,direct,0,False,7209
1,21,interval_chebyshev,157,False,450209
4,112,cg,12,False,45500
4,127,cg,10,False,37167
3,99,direct,0,False,7209
0,85,cg,3,False,14667
1,29,certificate,2,True,42042
1,113,direct,0,False,8000
2,183,cost_gated_certificate,16,False,48083
0,212,direct,0,False,7041
0,160,cg,10,False,38666
