actual_squared_residual,coverage_slack,covered,dual_l1,family,inflation,interval_correction,name,nominal_certificate,raw_certificate_excess,robust_certificate,robust_design_value,scaled_certificate_excess,solver,status
5.0233462365677923e-11,1.2446224667292104e-13,True,0.10613178670993186,two_point,2.445611328309719e-07,6.303563447000754e-09,two_point_k10_0,2.6145752229922437e-13,-2.4451116082612853e-07,2.445613942884942e-07,2.3815450039655061e-07,-1964540.7933916578,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
1.0414004239164405e-12,1.2449033494159042e-13,True,0.10637409968363523,two_point,2.4491172785321666e-07,6.577249611271843e-09,two_point_k10_1,2.6145752229922437e-13,-2.44910947910315e-07,2.4491198931073896e-07,2.3816496310724068e-07,-1967308.9322574697,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
6.294523470677292e-11,1.244604146946321e-13,True,0.10611465943776316,two_point,2.445467932455134e-07,6.323122766060577e-09,two_point_k10_2,2.6145752229922437e-13,-2.444841094683289e-07,2.445470547030357e-07,2.3814417477356458e-07,-1964352.3610955263,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
1.0914627183408986e-12,1.2448374454621368e-13,True,0.10627747667941742,two_point,2.4479140235254397e-07,6.405556454392413e-09,two_point_k10_3,2.6145752229922437e-13,-2.447905723473479e-07,2.4479166381006627e-07,2.3818552236056496e-07,-1966446.0869143538,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
1.9839218754264456e-05,1.0901311989586059e-12,True,8.934234606747221,two_point,4.000241176476009e-05,9.332050112563932e-08,two_point_k100_0,3.419131644477602e-11,-2.0163227201812075e-05,4.000244595607653e-05,3.992239930552873e-05,-18496147.272065833,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
1.699776489347736e-08,3.657050417632473e-12,True,33.13995451552383,two_point,7.858789681507554e-05,3.267980088048796e-07,two_point_k100_1,3.413447302591521e-11,-7.85709331846551e-05,7.858793094954857e-05,7.823977406475558e-05,-21484782.601252977,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
1.9861471364318774e-05,1.0214197642021484e-12,True,8.276203882261571,two_point,3.843657784372427e-05,8.6435948305975e-08,two_point_k100_2,3.412026217120001e-11,-1.8575140599667665e-05,3.843661196398644e-05,3.835246585248458e-05,-18185609.140016086,CLARABEL/CLARABEL,design=optimal; certificate=optimal; extraction=rank-one-lmi-nullspace; candidates=1
1.6505105324766952e-08,3.648686051294565e-12,True,33.1716675007699,two_point,7.85600085476294e-05,3.26448277039281e-07,two_point_k100_3,3.413447302591521e-11,-7.854353757677766e-05,7.856004268210242e-05,7.82338142407749e-05,-21526526.66537593,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2
9.884320008596575e-07,2.2214808802431937e-13,True,0.9540812213376688,two_point,1.2380946322330057e-06,1.4860928968238247e-08,two_point_k1000_0,3.5415723687037826e-09,-2.5320420374205197e-07,1.2416362046017095e-06,1.2211232044882647e-06,-1139799.1582728939,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2
0.000321862242746791,5.155499960238881e-10,True,3985.8345716478025,two_point,0.010299991142875666,4.588706515539232e-05,two_point_k1000_1,3.537934389896691e-09,-0.009978132438063265,0.010299994680810056,0.012865549357209433,-19354344.90353662,SCS/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2
1.1515870307844047e-06,2.2567007120764895e-13,True,0.9525773736983796,two_point,1.401465392801696e-06,1.8197518322873002e-08,two_point_k1000_2,3.5261109587736428e-09,-2.5340447297606497e-07,1.4049915037604697e-06,1.3921772628588032e-06,-1122898.0060138165,CLARABEL/CLARABEL,design=optimal_inaccurate; certificate=optimal; extraction=rank-one-lmi-dual; candidates=2
