name,family,source,dimension,condition,tolerance,observation_depth,chebyshev_horizon,sdp_horizon,operational_horizon,certificate,design_value,previous_design_value,actual_squared_residual,covered,design_calls,design_seconds,solver,status
poisson2d_n64_0,poisson2d,heldout_structured,64,32.16343747752638,0.05,1,11,8,8,0.001563741745071301,0.001563646619500253,0.003146072917062267,0.0007521104615108073,True,5,0.2552516249124892,CLARABEL/CLARABEL,design=optimal; certificate=optimal_inaccurate
poisson2d_n64_0,poisson2d,heldout_structured,64,32.16343747752638,0.05,2,11,5,5,0.0019951231941604114,0.0019943562220348814,0.0033199007096134,0.001168178649119188,True,5,0.12390441604657099,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_0,poisson2d,heldout_structured,64,32.16343747752638,0.05,3,11,3,3,0.001554302648985692,0.0015542901865191407,,0.001554290196766811,True,1,0.0190436250413768,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_0,poisson2d,heldout_structured,64,32.16343747752638,0.05,4,11,4,4,0.0004634494579007914,0.0004634378519833948,,0.0004634378519637515,True,1,0.011673583998344839,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_0,poisson2d,heldout_structured,64,32.16343747752638,0.05,5,11,5,5,0.00015983701273809825,0.0001598262831085149,,0.00015982628698293778,True,1,0.011437874985858798,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_0,poisson2d,heldout_structured,64,32.16343747752638,0.05,6,11,6,6,7.78302019391261e-05,7.782014469800843e-05,,7.782014944224493e-05,True,1,0.012492667010519654,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_1,poisson2d,heldout_structured,64,32.16343747752638,0.05,1,11,9,9,0.0024516785872551934,0.002451223568906372,0.00496728655126357,0.001706876155296981,True,6,0.14426149998325855,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_1,poisson2d,heldout_structured,64,32.16343747752638,0.05,2,11,9,9,0.0018833732040879098,0.0018833607030173346,0.003799556008082357,0.0013166644865236637,True,5,0.24014129099668935,CLARABEL/CLARABEL,design=optimal; certificate=optimal_inaccurate
poisson2d_n64_1,poisson2d,heldout_structured,64,32.16343747752638,0.05,3,11,9,9,0.0016447085977389535,0.0016446853034094405,0.003292641793143417,0.0012244682401224142,True,5,0.15124666702467948,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_1,poisson2d,heldout_structured,64,32.16343747752638,0.05,4,11,9,9,0.0015221594006178418,0.0015221439049213515,0.0030085389753957558,0.0011780935088577696,True,5,0.2350509170209989,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_1,poisson2d,heldout_structured,64,32.16343747752638,0.05,5,11,9,9,0.001486228494758097,0.001486222678331265,0.0028885724780605745,0.0011633178585929236,True,5,0.24729479191591963,CLARABEL/CLARABEL,design=optimal; certificate=optimal
poisson2d_n64_1,poisson2d,heldout_structured,64,32.16343747752638,0.05,6,11,9,9,0.0014666694249932447,0.0014666632660999869,0.0028062184287600943,0.0011503105301783783,True,4,0.129520000948105,CLARABEL/CLARABEL,design=optimal; certificate=optimal
